Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,37,,
,502,13,,
,503,36,,
,504,30,,
,505,15,,
,506,10,,
,507,26,,
,508,5,,
,509,56,,
,510,22,,
,511,23,,
,512,7,,
,513,84,,
,514,48,,
,515,18,,
,516,3,,
,517,32,,
,518,56,,
,519,36,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,20,,
,502,26,,
,503,43,,
,504,19,,
,505,13,,
,506,6,,
,507,20,,
,508,16,,
,509,21,,
,510,45,,
,511,19,,
,512,9,,
,513,69,,
,514,30,,
,515,17,,
,516,7,,
,517,24,,
,518,45,,
,519,24,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,34,,
,502,24,,
,503,47,,
,504,5,,
,505,18,,
,506,4,,
,507,9,,
,508,33,,
,509,89,,
,510,12,,
,511,17,,
,512,5,,
,513,49,,
,514,43,,
,515,40,,
,516,18,,
,517,34,,
,518,23,,
,519,13,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,55,,
,502,23,,
,503,44,,
,504,10,,
,505,17,,
,506,4,,
,507,90,,
,508,14,,
,509,65,,
,510,24,,
,511,19,,
,512,10,,
,513,68,,
,514,61,,
,515,18,,
,516,23,,
,517,30,,
,518,51,,
,519,67,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,39,,
,502,61,,
,503,48,,
,504,36,,
,505,12,,
,506,5,,
,507,34,,
,508,27,,
,509,71,,
,510,39,,
,511,11,,
,512,17,,
,513,38,,
,514,67,,
,515,44,,
,516,15,,
,517,47,,
,518,70,,
,519,29,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,50,,
,502,65,,
,503,45,,
,504,30,,
,505,16,,
,506,19,,
,507,39,,
,508,12,,
,509,64,,
,510,45,,
,511,23,,
,512,5,,
,513,112,,
,514,89,,
,515,63,,
,516,19,,
,517,41,,
,518,74,,
,519,62,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,145,,
,502,230,,
,503,187,,
,504,190,,
,505,300,,
,506,120,,
,507,182,,
,508,154,,
,509,132,,
,510,98,,
,511,113,,
,512,56,,
,513,141,,
,514,123,,
,515,192,,
,516,143,,
,517,89,,
,518,130,,
,519,150,,
