Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,34,,
,502,16,,
,503,23,,
,504,36,,
,505,11,,
,506,7,,
,507,30,,
,508,10,,
,509,35,,
,510,18,,
,511,19,,
,512,4,,
,513,87,,
,514,51,,
,515,15,,
,516,9,,
,517,35,,
,518,43,,
,519,26,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,30,,
,502,16,,
,503,54,,
,504,12,,
,505,8,,
,506,4,,
,507,28,,
,508,13,,
,509,24,,
,510,50,,
,511,14,,
,512,6,,
,513,78,,
,514,35,,
,515,14,,
,516,10,,
,517,27,,
,518,39,,
,519,42,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,30,,
,502,28,,
,503,43,,
,504,7,,
,505,14,,
,506,2,,
,507,12,,
,508,30,,
,509,76,,
,510,23,,
,511,10,,
,512,3,,
,513,65,,
,514,50,,
,515,36,,
,516,13,,
,517,54,,
,518,27,,
,519,33,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,50,,
,502,28,,
,503,38,,
,504,16,,
,505,16,,
,506,5,,
,507,54,,
,508,14,,
,509,61,,
,510,23,,
,511,17,,
,512,9,,
,513,80,,
,514,58,,
,515,16,,
,516,19,,
,517,34,,
,518,55,,
,519,51,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,43,,
,502,57,,
,503,52,,
,504,39,,
,505,8,,
,506,4,,
,507,40,,
,508,22,,
,509,70,,
,510,34,,
,511,16,,
,512,10,,
,513,45,,
,514,60,,
,515,42,,
,516,18,,
,517,44,,
,518,75,,
,519,34,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,45,,
,502,60,,
,503,50,,
,504,28,,
,505,14,,
,506,14,,
,507,43,,
,508,15,,
,509,70,,
,510,39,,
,511,20,,
,512,8,,
,513,102,,
,514,77,,
,515,68,,
,516,15,,
,517,37,,
,518,76,,
,519,56,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,70,,
,502,59,,
,503,63,,
,504,50,,
,505,30,,
,506,25,,
,507,60,,
,508,20,,
,509,109,,
,510,52,,
,511,18,,
,512,4,,
,513,145,,
,514,111,,
,515,49,,
,516,24,,
,517,67,,
,518,102,,
,519,59,,
